target,pose_rank,affinity,cnnscore,minimizedAffinity,file
5HT2B_4IB4,15,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,16,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,17,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,18,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,19,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,20,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,21,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,22,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,23,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,24,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,25,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,26,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,27,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,28,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,29,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,30,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,31,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,32,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,33,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,34,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,35,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,36,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,37,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,38,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,39,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,40,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,41,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,42,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,43,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,44,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,45,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,46,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,47,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,48,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,49,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,50,,,,data/results/dock_5HT2B_4IB4/poses.sdf
